name,kana,lat,lng,closed
横手,よこて,39.310146,140.5604,0
後三年,ごさんねん,39.364891,140.538397,0
飯詰,いいづめ,39.406013,140.515378,0
大曲,おおまがり,39.465712,140.479628,0
神宮寺,じんぐうじ,39.494841,140.426518,0
刈和野,かりわの,39.547646,140.372402,0
峰吉川,みねよしかわ,39.566586,140.32314,0
羽後境,うごさかい,39.618679,140.320722,0
大張野,おおばりの,39.663347,140.274071,0
和田,わだ,39.65087,140.218754,0
四ツ小屋,よつごや,39.661341,140.144946,0
秋田,あきた,39.716748,140.129931,0
泉外旭川,いずみそとあさひかわ,39.738358,140.112283,0
土崎,つちざき,39.758453,140.073601,0
上飯島,かみいいじま,39.779336,140.06847,0
追分,おいわけ,39.809925,140.05781,0
大久保,おおくぼ,39.87089,140.063079,0
羽後飯塚,うごいいづか,39.898981,140.0733,0
井川さくら,いかわさくら,39.911925,140.076022,0
八郎潟,はちろうがた,39.947366,140.078382,0
鯉川,こいかわ,39.996361,140.077474,0
鹿渡,かど,40.044619,140.082621,0
森岳,もりたけ,40.103164,140.070886,0
北金岡,きたかなおか,40.141895,140.063565,0
東能代,ひがしのしろ,40.191579,140.065746,0
鶴形,つるがた,40.203879,140.118507,0
富根,とみね,40.217956,140.172643,0
二ツ井,ふたつい,40.212506,140.235729,0
前山,まえやま,40.214785,140.312378,0
鷹ノ巣(鷹巣),たかのす,40.232059,140.369816,0
糠沢,ぬかざわ,40.251094,140.397827,0
早口,はやぐち,40.271315,140.447572,0
下川沿,しもかわぞい,40.276408,140.496625,0
大館,おおだて,40.288122,140.555946,0
白沢,しらさわ,40.338103,140.591657,0
陣場,じんば,40.398864,140.607523,0
津軽湯の沢,つがるゆのさわ,40.441879,140.632055,0
碇ヶ関,いかりがせき,40.478988,140.622443,0
長峰,ながみね,40.516072,140.603069,0
大鰐温泉,おおわにおんせん,40.52154,140.566914,0
大鰐,おおわに,40.52182,140.566822,0
石川,いしかわ,40.556021,140.530951,0
弘前,ひろさき,40.599723,140.485016,0
撫牛子,ないじょうし,40.621298,140.497616,0
川部,かわべ,40.646862,140.521376,0
北常盤,きたときわ,40.67053,140.54359,0
浪岡,なみおか,40.71021,140.580664,0
大釈迦,だいしゃか,40.756736,140.587776,0
鶴ヶ坂,つるがさか,40.791228,140.634878,0
津軽新城,つがるしんじょう,40.828022,140.672025,0
新青森,しんあおもり,40.82749,140.693449,0
青森,あおもり,40.828668,140.734738,0
野辺地,のへじ,40.855142,141.119603,0
北野辺地,きたのへじ,40.871077,141.134115,0
有戸,ありと,40.913949,141.189264,0
吹越,ふっこし,41.022038,141.246552,0
陸奥横浜,むつよこはま,41.086544,141.249757,0
有畑,ありはた,41.131818,141.276421,0
近川,ちかがわ,41.191687,141.279021,0
金谷沢,かなやさわ,41.228854,141.248432,0
赤川,あかがわ,41.267829,141.209339,0
下北,しもきた,41.28288,141.18989,0
大湊,おおみなと,41.280344,141.161772,0
能代,のしろ,40.206577,140.033084,0
向能代,むかいのしろ,40.225669,140.039111,0
北能代,きたのしろ,40.254138,140.033835,0
鳥形,とりがた,40.271433,140.036931,0
沢目,さわめ,40.295929,140.037824,0
東八森,ひがしはちもり,40.332086,140.032462,0
八森,はちもり,40.37135,140.017882,0
滝ノ間,たきのま,40.379967,140.00221,0
あきた白神,あきたしらかみ,40.386583,139.987793,0
岩館,いわだて,40.406241,139.966258,0
大間越,おおまごし,40.492407,139.950062,0
白神岳登山口,しらかみだけとざんぐち,40.513551,139.950318,0
松神,まつかみ,40.534902,139.946556,0
十二湖,じゅうにこ,40.551539,139.941986,0
陸奥岩崎,むついわさき,40.583333,139.924183,0
陸奥沢辺,むつさわべ,40.586175,139.894991,0
ウェスパ椿山,うぇすぱつばきやま,40.592913,139.871157,0
艫作,へなし,40.608534,139.864856,0
横磯,よこいそ,40.629891,139.89091,0
深浦,ふかうら,40.650239,139.929372,0
広戸,ひろと,40.67434,139.955586,0
追良瀬,おいらせ,40.686114,139.970298,0
驫木,とどろき,40.707218,139.982954,0
風合瀬,かそせ,40.731826,139.99432,0
大戸瀬,おおどせ,40.759325,140.033596,0
千畳敷,せんじょうじき,40.767769,140.054832,0
北金ヶ沢,きたかねがさわ,40.745995,140.095052,0
陸奥柳田,むつやなぎた,40.740616,140.123243,0
陸奥赤石,むつあかいし,40.76156,140.162057,0
鰺ヶ沢,あじがさわ,40.775255,140.220589,0
鳴沢,なるさわ,40.782189,140.267617,0
越水,こしみず,40.787258,140.298628,0
陸奥森田,むつもりた,40.781738,140.339033,0
中田,なかた,40.787424,140.364505,0
木造,きづくり,40.802482,140.387775,0
五所川原,ごしょがわら,40.809124,140.44776,0
津軽五所川原,つがるごしょがわら,40.809684,140.448489,0
陸奥鶴田,むつつるだ,40.757544,140.435276,0
鶴泊,つるどまり,40.736026,140.437616,0
板柳,いたやなぎ,40.69726,140.461785,0
林崎,はやしざき,40.675355,140.480401,0
藤崎,ふじさき,40.654047,140.499531,0
油川,あぶらかわ,40.857035,140.690476,0
津軽宮田,つがるみやた,40.887184,140.674579,0
奥内,おくない,40.903044,140.672382,0
左堰,ひだりせき,40.917214,140.665929,0
後潟,うしろがた,40.931519,140.662734,0
中沢,なかさわ,40.949044,140.656244,0
蓬田,よもぎた,40.969042,140.654533,0
郷沢,ごうさわ,40.987682,140.652399,0
瀬辺地,せへじ,41.007869,140.648179,0
蟹田,かにた,41.038274,140.642565,0
大平,おおだい,41.065866,140.559375,0
大川平,おおかわだい,41.163204,140.507592,0
今別,いまべつ,41.179741,140.490448,0
津軽浜名,つがるはまな,41.180521,140.47185,0
三厩,みんまや,41.185404,140.444482,0
長苗代,ながなわしろ,40.52146,141.465907,0
本八戸,ほんはちのへ,40.516286,141.488762,0
小中野,こなかの,40.518767,141.510032,0
陸奥湊,むつみなと,40.52335,141.527652,0
白銀,しろがね,40.522031,141.541648,0
鮫,さめ,40.530244,141.554891,0
陸奥白浜,むつしらはま,40.516636,141.592299,0
種差海岸,たねさしかいがん,40.506951,141.607367,0
大久喜,おおくき,40.495135,141.622958,0
金浜,かねはま,40.475994,141.637366,0
大蛇,おおじゃ,40.467251,141.650773,0
階上,はしかみ,40.456834,141.664958,0
角の浜,かどのはま,40.444478,141.681773,0
平内,ひらない,40.42552,141.699272,0
種市,たねいち,40.410384,141.715232,0
玉川,たまがわ,40.380424,141.735117,0
宿戸,しゅくのへ,40.366129,141.746683,0
陸中八木,りくちゅうやぎ,40.345485,141.766517,0
有家,うげ,40.324007,141.773031,0
陸中中野,りくちゅうなかの,40.305165,141.787768,0
侍浜,さむらいはま,40.261375,141.760575,0
陸中夏井,りくちゅうなつい,40.207747,141.791906,0
久慈,くじ,40.190391,141.770891,0
茂市,もいち,39.620619,141.799288,0
岩手刈屋,いわてかりや,39.642688,141.759296,1
中里,なかさと,39.661836,141.736067,1
岩手和井内,いわてわいない,39.679905,141.715705,1
押角,おしかど,39.724029,141.693181,1
岩手大川,いわておおかわ,39.800208,141.671909,1
浅内,あさない,39.819482,141.727016,1
二升石,にしょういし,39.836739,141.745741,1
岩泉,いわいずみ,39.845044,141.786446,1
一ノ関,いちのせき,38.926514,141.138177,0
真滝,またき,38.908239,141.17793,0
陸中門崎,りくちゅうかんざき,38.916908,141.251226,0
岩ノ下,いわのした,38.947699,141.245342,0
陸中松川,りくちゅうまつかわ,38.977237,141.238046,0
猊鼻渓,げいびけい,38.988939,141.25327,0
柴宿,しばじゅく,38.996719,141.272312,0
摺沢,すりさわ,38.996016,141.321151,0
千厩,せんまや,38.924873,141.34563,0
小梨,こなし,38.932493,141.38418,0
矢越,やごし,38.935224,141.429029,0
折壁,おりかべ,38.939428,141.452346,0
新月,にいつき,38.915598,141.488796,0
気仙沼,けせんぬま,38.910031,141.558893,0
鹿折唐桑,ししおりからくわ,38.915928,141.579468,1
上鹿折,かみししおり,38.960163,141.566825,1
陸前矢作,りくぜんやはぎ,39.022654,141.579456,1
竹駒,たけこま,39.033908,141.609486,1
陸前高田,りくぜんたかた,39.014915,141.629227,1
脇ノ沢,わきのさわ,39.011884,141.671754,1
小友,おとも,38.989303,141.699506,1
細浦,ほそうら,39.016025,141.713726,1
下船渡,しもふなと,39.038328,141.720863,1
大船渡,おおふなと,39.063546,141.720803,1
盛,さかり,39.086372,141.710734,0
花巻,はなまき,39.393182,141.110458,0
似内,にたない,39.406819,141.140889,0
新花巻,しんはなまき,39.405839,141.17302,0
